,Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay,High_Meaning
347,347,International Studies,Bachelors,"$56,200","$98,500",50%
348,348,Cinema Studies,Bachelors,"$53,200","$98,300",37%
349,349,Professional & Technical Writing,Bachelors,"$54,800","$98,200",47%
350,350,Automotive Technology,Bachelors,"$55,400","$97,800",52%
351,351,Information Systems Security,Bachelors,"$64,800","$97,700",47%
354,354,Organizational Development,Bachelors,"$60,800","$97,500",55%
356,356,Toxicology,Bachelors,"$53,900","$97,400",-
360,360,Construction Engineering Technology,Bachelors,"$63,800","$97,200",60%
361,361,English Literature,Bachelors,"$53,800","$97,100",46%
363,363,Advertising & Promotion,Bachelors,"$53,400","$97,000",46%
364,364,Hydrology,Bachelors,"$53,400","$96,900",-
367,367,Technical Management,Bachelors,"$72,300","$96,800",66%
368,368,Electronics & Computer Technology,Bachelors,"$60,500","$96,600",-
369,369,Sociology & Organizational Studies,Bachelors,"$61,400","$96,500",55%
373,373,Business Administration,Bachelors,"$60,200","$96,300",51%
375,375,Land Surveying,Bachelors,"$58,200","$96,200",56%
377,377,Journalism & Mass Communication,Bachelors,"$52,800","$96,100",44%
378,378,Speech & Drama,Bachelors,"$45,100","$95,900",-
380,380,Digital Media,Bachelors,"$52,000","$95,600",38%
382,382,Linguistics,Bachelors,"$58,600","$95,500",42%
384,384,General Science,Bachelors,"$56,300","$95,400",58%
386,386,Pre-Medicine,Bachelors,"$57,200","$95,300",69%
387,387,Nursing Science,Bachelors,"$75,600","$95,200",84%
390,390,Integrated Marketing Communications,Bachelors,"$53,500","$95,100",38%
392,392,American History (United States),Bachelors,"$58,900","$94,900",49%
393,393,Personnel Management,Bachelors,"$57,900","$94,800",68%
396,396,Natural Sciences,Bachelors,"$49,500","$94,700",54%
400,400,Writing,Bachelors,"$49,900","$94,600",44%
401,401,Computer Art,Bachelors,"$44,600","$94,500",33%
404,404,Journalism,Bachelors,"$52,300","$94,100",44%
406,406,Textile Design,Bachelors,"$56,200","$94,000",36%
409,409,Public Relations & Communication,Bachelors,"$51,700","$93,900",48%
412,412,Environmental & Natural Resource Economics,Bachelors,"$58,600","$93,700",66%
413,413,General & Strategic Management,Bachelors,"$56,800","$93,600",52%
416,416,History,Bachelors,"$54,300","$93,400",47%
418,418,Literature,Bachelors,"$53,200","$93,300",45%
419,419,Law,Bachelors,"$59,900","$93,200",51%
420,420,Physiology,Bachelors,"$55,500","$93,100",66%
421,421,Retail Management,Bachelors,"$60,400","$93,000",39%
424,424,Music Technology,Bachelors,"$50,900","$92,900",38%
428,428,Urban Studies,Bachelors,"$57,700","$92,800",60%
431,431,Media Studies,Bachelors,"$57,000","$92,700",38%
432,432,Philosophy & Religion,Bachelors,"$51,300","$92,600",54%
434,434,Environmental Geography,Bachelors,"$55,900","$92,500",54%
435,435,Web Design & Development,Bachelors,"$60,100","$92,300",44%
440,440,Geographic Information Systems (GIS),Bachelors,"$56,100","$92,200",53%
443,443,Interactive Media,Bachelors,"$61,300","$92,100",39%
445,445,Retail Merchandising,Bachelors,"$59,000","$91,900",36%
446,446,Diagnostic Medical Sonography,Bachelors,"$71,700","$91,800",86%
447,447,Network Administration,Bachelors,"$54,400","$91,600",54%
449,449,Dental Hygiene,Bachelors,"$81,200","$91,300",81%
451,451,Workforce Education & Development,Bachelors,"$67,100","$91,200",73%
454,454,Health Policy & Administration,Bachelors,"$57,300","$91,100",63%
456,456,Quality Management,Bachelors,"$66,000","$90,800",62%
457,457,Speech Communication,Bachelors,"$53,300","$90,700",56%
459,459,Visual Effects & Motion Graphics,Bachelors,"$54,100","$90,500",38%
461,461,Foreign Languages,Bachelors,"$55,600","$90,300",54%
462,462,Landscape Architecture,Bachelors,"$58,700","$90,200",65%
463,463,Global Studies,Bachelors,"$58,100","$90,100",47%
464,464,Spanish Language Teacher Education,Bachelors,"$55,100","$89,900",-
466,466,Technical & Scientific Communication,Bachelors,"$57,000","$89,800",35%
467,467,Broadcast & Cinematic Arts,Bachelors,"$48,000","$89,700",41%
468,468,Geography,Bachelors,"$56,200","$89,600",52%
470,470,Forestry,Bachelors,"$52,800","$89,500",68%
474,474,Nursing Education,Bachelors,"$76,300","$89,300",-
476,476,English Language,Bachelors,"$50,900","$89,100",47%
477,477,Geosciences,Bachelors,"$55,100","$89,000",62%
480,480,Digital Arts,Bachelors,"$50,800","$88,900",36%
482,482,Leadership,Bachelors,"$53,700","$88,700",55%
483,483,Radio/Television & Film Production,Bachelors,"$51,200","$88,600",40%
488,488,English Language & Literature,Bachelors,"$52,200","$88,500",44%
490,490,Security Management,Bachelors,"$53,900","$88,400",-
492,492,Public Administration,Bachelors,"$53,000","$88,300",57%
494,494,Management (MGT),Bachelors,"$52,300","$88,200",-
496,496,Merchandising Management,Bachelors,"$53,500","$88,100",48%
497,497,Sports Management,Bachelors,"$51,200","$88,000",43%
500,500,Electronic Media,Bachelors,"$50,700","$87,900",37%
503,503,Film Production,Bachelors,"$50,500","$87,800",37%
505,505,Marine Science,Bachelors,"$51,800","$87,600",61%
506,506,Technical Writing,Bachelors,"$63,300","$87,500",37%
510,510,Travel Industry Management,Bachelors,"$58,700","$87,400",-
512,512,Nuclear Medicine Technology,Bachelors,"$68,800","$87,200",81%
515,515,Marketing & Advertising,Bachelors,"$55,400","$87,100",45%
516,516,Musicology,Bachelors,"$48,100","$87,000",-
517,517,Broadcast Journalism,Bachelors,"$49,800","$86,800",52%
518,518,Animation,Bachelors,"$50,900","$86,700",35%
519,519,Organizational Leadership & Supervision,Bachelors,"$54,600","$86,600",53%
522,522,Multimedia,Bachelors,"$50,400","$86,500",45%
523,523,Acting,Bachelors,"$50,400","$86,400",48%
527,527,Liberal Arts,Bachelors,"$51,400","$86,300",52%
528,528,Organizational Management,Bachelors,"$55,500","$86,200",60%
531,531,Zoology,Bachelors,"$46,800","$86,100",66%
532,532,Creative Writing,Bachelors,"$51,200","$85,900",41%
533,533,Geomatics,Bachelors,"$57,800","$85,800",67%
534,534,Law Enforcement,Bachelors,"$52,800","$85,700",62%
535,535,Fashion Marketing & Management,Bachelors,"$54,400","$85,600",27%
538,538,Management & Leadership,Bachelors,"$59,500","$85,400",56%
540,540,Human Resources (HR),Bachelors,"$53,800","$85,300",55%
541,541,Animal Science & Management,Bachelors,"$51,500","$85,200",61%
542,542,Adult Education & Training,Bachelors,"$55,200","$85,100",78%
543,543,Health & Fitness,Bachelors,"$44,100","$84,900",71%
545,545,Radiology,Bachelors,"$62,300","$84,800",81%
550,550,Training and Development,Bachelors,"$59,600","$84,700",-
554,554,Human Relations,Bachelors,"$51,100","$84,400",63%
556,556,Natural Resources,Bachelors,"$54,200","$84,300",58%
557,557,Hotel & Restaurant Management,Bachelors,"$54,200","$84,200",49%
559,559,Mass Media,Bachelors,"$45,800","$83,800",45%
561,561,Radiologic Technology,Bachelors,"$62,000","$83,700",81%
563,563,Romance Languages,Bachelors,"$57,400","$83,600",55%
565,565,Environmental Health Science,Bachelors,"$61,500","$83,500",-
566,566,Psychology,Bachelors,"$51,000","$83,400",56%
568,568,Labor Studies,Bachelors,"$53,700","$83,200",51%
570,570,Visual Communications,Bachelors,"$51,200","$83,000",34%
572,572,Audio Engineering,Bachelors,"$53,800","$82,800",40%
573,573,Health,Bachelors,"$49,600","$82,700",70%
575,575,Painting & Printmaking,Bachelors,"$39,300","$82,600",46%
578,578,Multimedia & Web Design,Bachelors,"$55,700","$82,500",31%
579,579,Psychology & Social Behavior,Bachelors,"$51,100","$82,400",58%
582,582,Web Design,Bachelors,"$53,900","$82,300",29%
586,586,Life Sciences,Bachelors,"$59,700","$82,200",60%
588,588,Music,Bachelors,"$51,000","$82,100",55%
590,590,SocialStudies,Bachelors,"$52,700","$82,000",56%
593,593,Psychiatry,Bachelors,"$64,300","$81,900",50%
595,595,Sociology,Bachelors,"$52,800","$81,800",55%
596,596,Health Care Administration,Bachelors,"$52,100","$81,600",68%
597,597,Respiratory Care,Bachelors,"$61,800","$81,500",85%
599,599,Art & Design,Bachelors,"$51,100","$81,300",39%
601,601,Child Psychology,Bachelors,"$48,400","$81,100",62%
602,602,Theater,Bachelors,"$51,200","$81,000",49%
607,607,Kinesiology,Bachelors,"$51,100","$80,900",66%
608,608,Secondary Education,Bachelors,"$50,700","$80,800",58%
611,611,Multidisciplinary Studies,Bachelors,"$49,600","$80,700",52%
612,612,Communication Arts,Bachelors,"$47,800","$80,500",40%
614,614,Sustainability,Bachelors,"$54,900","$80,400",58%
617,617,Radiography,Bachelors,"$62,400","$80,300",83%
619,619,Respiratory Therapy,Bachelors,"$61,800","$80,200",83%
621,621,Applied Behavior Analysis,Bachelors,"$43,400","$80,000",88%
622,622,Technology Teacher Education,Bachelors,"$54,000","$79,800",-
623,623,Professional Studies,Bachelors,"$47,500","$79,300",67%
624,624,Communications Technology,Bachelors,"$52,500","$79,200",32%
625,625,Commercial Photography,Bachelors,"$48,900","$79,000",28%
628,628,Radio & Television,Bachelors,"$49,000","$78,900",40%
630,630,Nutrition,Bachelors,"$52,800","$78,600",65%
631,631,Plant Sciences,Bachelors,"$55,500","$78,400",57%
632,632,Graphic Design,Bachelors,"$51,300","$78,300",38%
633,633,Nutrition & Dietetics,Bachelors,"$57,200","$78,200",71%
635,635,Turfgrass Management,Bachelors,"$53,300","$78,100",38%
